Company name;Avatar;Founded;Headquaters;Ownership;Employees;Company URL;Type;Describtion
Illwinter Game Design ;http://media.giantbomb.com/uploads/0/2891/814569-illwinter_logo_large.jpg;9/27/2001;Sweden ;Independent;2;http://illwinter.com/;Developer;"Illwinter Game Design (formerly Bogus) is the name of a small software company in Sweden composed of Johan Karlsson and Kristoffer Osterman. Registered officially as a company in Sweden since September 27, 2001, Illwinter's products include three fantasy strategy games and an installer creation program for Linux. Illwinter's games are characterized by large amount of content, replaybility, support for multiple platforms (Linux, Mac OS X, Solaris and Windows included), good multiplay support and simple, perhaps even outdated, visual and sound effects. The games are said to have a steep learning curve and a somewhat lacking user interface. Labor division within the tiny team is simple: Kristoffer Osterman creates the units, spells and descriptions while Johan Karlsson makes everything else work.

Both Johan Karlsson and Kristoffer Osterman have expressed their love for role-playing games, especially Ars Magica and roguelikes. Kristoffer Osterman teaches religion and social sciences as a primary occupation."
Image Space Incorporated ;http://media.giantbomb.com/uploads/13/136140/2142353-463785_large.png;01/01/1992;Ann Arbor, Michigan ;Private company;;http://www.imagespaceinc.com/;Developer;Image Space Incorporated, commonly known as ISI is an independent video game developer based in Ann Arbor, Michigan, specializing in the fields of computer game development, man-in-the-loop simulator architectures, computer image generation, and entertainment systems integration.  ISI began with production of military simulators. They have worked on many different types of software, but focused most of their development time over the years on racing games and simulators.  ISI also developed the ISImotor game engine,  which is used for creating many racing games like GT Legends, GTR2, ARCA Sim Racing '08, Race 07 and others. ISI has never made games for the consoles, except Shadowgate Rising, which was cancelled.  Sports Car GT title for the PlayStation was made by another company Point of View  and all the EA Formula 1 games for the consoles were made by Visual Science.
IMC Games Co.,Ltd. ;;;;;;http://www.imc.co.kr/;Developer;
Impressions Games;http://media.giantbomb.com/uploads/0/3161/251620-imp_large.gif;01/01/1991;Cambridge, Massachusetts, USA;Closed;;;Developer;"Impressions Games was a video game developer founded by David Lester (currently of Firefly Studios) in the UK. He sold the company to Sierra Entertainment in 1995,  who was then bought out by Cendant and eventually, Vivendi Universal (now known as Vivendi SA).

Impressions specialized in historical strategy games, and is most well known for its City Building Series, which include Caesar, Pharaoh, and Master of Olympus - Zeus.

Mike Ryder, former president of Sierra Entertainment, forced a change in management in October 2001, during development of Lords of the Realm III. Rod Nakamoto was installed as the new director. Lords III became Impressions's final game, and was released to mediocre reviews in March 2004.

The studio was shut down in April 2004 when Vivendi Universal closed most of their game development studios. Many members of the studio moved on to form Tilted Mill Entertainment.

Former notable employees of Impressions include Chris Beatrice and Peter Haffenreffer, co-founders of Tilted Mill Entertainment."
Incinerator Studios ;http://upload.wikimedia.org/wikipedia/en/thumb/3/33/IncineratorStudios.png/200px-IncineratorStudios.png;01/01/2005;Carlsbad, California;Private company;;http://www.incineratorstudios.com/;Developer;Incinerator Studios is an American video game developer, based in Carlsbad, California. They were a wholly owned subsidiary of THQ until being spun off as an independent company in March 2009 as part of a cost-cutting move
Indie Built ;http://media.giantbomb.com/uploads/1/15029/637096-indie_built_large.jpg;01/01/1982;Salt Lake City, Utah, USA;Closed;;;Developer;"Indie Built, Inc. was a Salt Lake City, Utah based video game developer founded in 1982 by Bruce Carver as Access Software. 

They are popular for creating the golfing Links series and also for creating the video game detective series based on the character Tex Murphy.

In 1987, Access announced The Robotic Workshop, a toy kit that allowed users to build and program robots using a home computer. The kit was a precursor to the much more popular Lego Mindstorms kits released in the late 1990s. The Robotic Workshop included over 50 Capsela parts, including two motors, gears, wheels, and sensors.

Access Software was acquired by Microsoft in 1999,  became part of Microsoft Game Studios and was renamed to ""Salt Lake Games Studio"". In 2003 it was renamed again to ""Indie Games"".

In October 2004, Microsoft sold the development studio to Take-Two Interactive (T2) and it took on the name Indie Built.  They became part of T2's 2K Games/2K Sports brand. Indie shipped Amped 3 for the launch of Xbox 360 and worked on Top Spin 2 for Xbox 360 developed by Power and Magic. Take 2 suddenly closed Indie Built on April 28, 2006 without publicly stating any reasons for the closure."
Indie Fund ;http://media.giantbomb.com/uploads/1/17410/2137344-2137343-indiefund_large.png;;;;;http://indie-fund.com/;;
Inevitable Entertainment ;http://cache.kotaku.com/assets/images/9/2008/12/medium_midwaylogo_01.jpg;3/23/2000;Austin, Texas;Closed;;;Developer;"Midway Studios Austin was founded as Inevitable Entertainment on March 23, 2000 and acquired by Midway Games in 2004.  Responsible for developing Area 51 and its 2007 sequel BlackSite: Area 51.

On August 11, 2008, Midway announced it was canceling the game in development at its Austin location and was laying off between 90 and 130 of the Austin employees.  In December 2008, the studio closed its doors, laying off the entire local workforce as part of a larger, company-wide, action"
Infinite Game Publishing ;http://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Infinite_Game_Publishing_Logo.png/230px-Infinite_Game_Publishing_Logo.png;01/01/2011;Montreal, Quebec, Canada;Private company;;http://infinitegamepublishing.com/;Publisher;Infinite Game Publishing is a new Digital publisher based in Montreal, Quebec, specializing in publishing free-to-play AAA online games.
Infinite Interactive;http://upload.wikimedia.org/wikipedia/en/2/23/Infinite-Interactive.jpg;01/01/2003;St Kilda, Victoria, Australia;Owned by Firemint;;http://www.infinite-interactive.com/;Developer;"Infinite Interactive was a video game developer with headquarters in St Kilda, Victoria, Australia.  The company was founded by Steve Fawkner in 1989. After a long alliance with SSG, resulting in the development of the Warlords series of games, Steve moved on to make Infinite totally independent in 2003.  In 2011, the company was acquired by fellow Australian developers Firemint, creators of Flight Control and Real Racing. 

Infinite has continued to produce Warlords games (Warlords IV: Heroes of Etheria and Warlords Battlecry III), but has recently branched out into the more casual marketplace.

They have also released Puzzle Quest for the PlayStation Portable, Nintendo DS, IPhone, PS3, Xbox 360 and PC. Galactrix, another match-3-based puzzle game in the Puzzle Quest series, this time with a science fiction setting and hexagonal tiles. May 2009 saw the release of Puzzle Kingdoms, a turn-based strategy iteration of the successful Puzzle Quest franchise."
Infinity Ward;http://upload.wikimedia.org/wikipedia/en/c/cb/Infinity_Ward_Logo.png;01/01/2002;Encino, California, USA ;Subsidiary of Activision ;100;http://www.infinityward.com/;Developer;"Infinity Ward is an American video game developer. It created the video game Call of Duty and four other installments in the Call of Duty franchise.

Vince Zampella and Grant Collier established Infinity Ward along with Jason West in 2002 after working in 2015, Inc. previously.   All of the 22 original team members in Infinity Ward came from the team that had worked in Medal of Honor: Allied Assault while in 2015, Inc. Activision helped fund Infinity Ward in its early days, buying up 30 percent of the company. The studio's first game, World War II shooter Call of Duty, was released on the PC in 2003. The day after the game was released, Activision snapped up the rest of Infinity Ward, signing employees to long term contracts. Infinity Ward went on to make Call of Duty 2, Call of Duty 4: Modern Warfare, Call of Duty: Modern Warfare 2, and Call of Duty: Modern Warfare 3. Co-founder Collier has since left the company in early 2009 to join the parent company Activision."
Infogrames;http://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Infogrames_logo.svg/188px-Infogrames_logo.svg.png;06/01/1983;Paris, France ;Public;;;Publisher;Infogrames Entertainment SA (IESA) (pronounced Een - foh - grahm) was an international French holding company headquartered in Paris, France. It was the owner of Atari, Inc., headquartered in New York City, U.S. and Atari Europe. It was founded in 1983 by Bruno Bonnell and Christophe Sapet using the proceeds from an introductory computer book. Through its subsidiaries, Infogrames produced, published and distributed interactive games for all major video game consoles and computer game platforms.
Innerloop Studios ;http://upload.wikimedia.org/wikipedia/commons/1/1b/InnerloopLogo.png;5/28/1996;Oslo, Norway ;Closed;;;Developer;"Innerloop Studios (commonly abbreviated to Innerloop) was a Norwegian video game developer operating from 1996 to 2003. The company was founded as Innerloop Technologies in May 1996 by a group of ex-employees of the Oslo-based video game company Funcom. After entering into a partnership with the video game developer and publisher Eidos Interactive, Innerloop merged with DiMaga Studios in 1997 and changed its name to Innerloop Studios to reflect the merger. In the fall of 2000, Swedish electronic entertainment company Vision Park acquired the studio. In 2002, Innerloop once again became an independent company before shutting its doors in June 2003.

Company staff numbers ranged between 15 and 25 at various times throughout the company's existence.

Innerloop was widely known for its graphics technology, first on display in the flight simulator JSF - Joint Strike Fighter. With the release of Project I.G.I.: I'm Going In in December 2000, the exclusion of being able to save the game within a level created controversy amongst its fans. Except the sports game Sega Extreme Sports for Sega Dreamcast, Innerloop chose to develop exclusively for the PC platform.

Co-founder Henning Rokling was the company's Managing Director until the studio shut down its operations in 2003. In addition to working with Eidos Interactive, Innerloop also worked with Infogrames, Sega, Empire Interactive and Codemasters."
InnoGlow;http://www.innoglow.com/InnoGlow.jpg;;;;;http://www.innoglow.com/;Developer;
InterActive Vision Games ;http://www.mobygames.com/images/i/39/12/447262.jpeg;;Silkeborg, Denmark;Closed;;;Developer;"InterActive Vision is a European software conglomerate with offices in Denmark and other parts of Europe.

The games division is far more famous in Europe than in the US. Their biggest title to date in U.S. is Pearl Harbor: Pacific Warriors (just ""Pacific Warriors"" in Europe)."
Interplay Entertainment ;http://upload.wikimedia.org/wikipedia/en/b/b0/Interplay_logo.JPG;01/01/1983;Beverly Hills, California;Public;8;http://www.interplay.com/;Publisher & Developer;Interplay Entertainment Corporation (OTC Pink: IPLY) is an American video game developer and publisher, founded in 1983 as Interplay Productions by Brian Fargo. As developers, they are best known as the creators of the original Fallout series and as publishers, they are best known for publishing Baldur's Gate and Descent. Following their acquisition by Titus Software, the company nearly went bankrupt in 2004 but continued operations even after the liquidation of Titus. They ended up re-emerging following the acquisition of the Fallout IP by Bethesda Softworks in 2007 with Interplay back-licensing the rights to the MMOG, Fallout Online. On December 12, 2011, the rights to Fallout Online were transferred to Bethesda Softworks following a lengthy lawsuit and subsequent settlement between Interplay and Bethesda.
InterWave Studios;http://media.giantbomb.com/uploads/0/4344/1230073-top_block_bg_large.jpg;01/01/2008;The Netherlands ;Independent;;http://www.interwavestudios.com;Developer;Mod team turned game studio. 
Intoxicate Studios;;;;;;;;
Introversion Software ;http://upload.wikimedia.org/wikipedia/en/7/74/IntroversionLogo.png;01/01/2001;England ;Independent;7;http://www.introversion.co.uk/;Developer;Introversion Software are British video game developers. 
Invictus Games;http://upload.wikimedia.org/wikipedia/en/6/65/Invictus-games-logo.jpeg;01/01/1992;Debrecen, Hungary ;Independent;50;http://www.invictus.com/home;Developer;Invictus Games is an independent Hungarian video game development studio founded in 1992 by Tamás Kozák and Ákos Diviánszky. They specialize in racing simulation games, like Project Torque, Street Legal and Street Legal Racing Redline, Insane, and onEscapee. Their publishers include Codemasters, Activision, 1C, Gamepot and Joyzone.
InXile Entertainment;http://upload.wikimedia.org/wikipedia/en/thumb/b/bd/InxileLogo.png/248px-InxileLogo.png;01/01/2002;Newport Beach, California;Independent;200;http://www.inxile-entertainment.com/;Developer;inXile Entertainment is an American video game developer formed in late 2002 by Brian Fargo, a founder of Interplay Productions. The company is located in Newport Beach, California and specialized in role-playing video games.
IO Interactive;http://upload.wikimedia.org/wikipedia/en/3/37/Io_interactive.gif;01/01/1998;Copenhagen, Denmark ;Subsidiary of Square Enix ;200;http://www.ioi.dk/;Developer;IO Interactive (commonly abbreviated to IOI) is a Danish video game development company currently owned by Square Enix. The company was founded in September 1998 by the Reto-Moto development group. To date their most popular franchise is the critically acclaimed Hitman series. This team is also known for their references to their own games (such as 47 advertising clothes in Freedom Fighters or Kane & Lynch featuring several Hitman references such as a number 47 garage and 47 achievements).
Ion Storm;http://upload.wikimedia.org/wikipedia/en/thumb/9/9d/Ion_storm_logo.jpg/240px-Ion_storm_logo.jpg;11/15/1996;Dallas, Texas, United States;Defunct 2005;;;Developer;"Ion Storm Inc. (sometimes spelled ION Storm) was a Texas based developer of computer games founded by John Romero, Tom Hall (both former employees of id Software), Todd Porter, and Jerry O'Flaherty, under the slogan ""Design is Law"". At the time it was founded, long before releasing a single title, it was an instant fan and industry darling for its collection of talent and promise of blockbuster games.

Ultimately, despite having produced several critically acclaimed video games, Ion Storm never truly lived up to its hype, creating instead several famous missteps, late releases, and internal political turmoil. The rise and fall of the company is documented in great detail in the book Masters of Doom."
Iron Lore Entertainment ;http://media.giantbomb.com/uploads/0/6790/521137-ironlore_large.jpg;01/01/2000;Maynard, Massachusetts ;Defunct 2008;;;Developer;"Iron Lore Entertainment (also Iron Lore) was a video game developer that was founded in October 2000 by Brian Sullivan (co-creator of the Age of Empires series) and Paul Chieffo.

In late June 2006, the company released Titan Quest, an action/role-playing video game/adventure game for publisher THQ. Titan Quest is set in ancient Greece, Egypt, Mesopotamia and China, and makes extensive use of the mythology of those civilizations. The company released an expansion pack, Titan Quest: Immortal Throne, in March 2007.

Iron Lore received the New Studio award at the 7th annual Game Developers Choice Awards, recognizing outstanding achievement of a studio whose first title was released in 2006. 

It was announced in the October 2007 issue of Games for Windows Magazine that Iron Lore Entertainment was assisting with the development of the upcoming Relic Entertainment title, Warhammer 40,000: Dawn of War: Soulstorm, which is the 3rd expansion in the popular Dawn of War series of games. It proved to be their last project.

On February 27, 2008 it was announced that Iron Lore Entertainment had closed down owing to an inability to secure funding for its next project.  

Following the closure, former members of Iron Lore formed a new company called Crate Entertainment."
Ironclad Games ;http://media.giantbomb.com/uploads/0/6790/465022-splash_ironclad_large.jpg;01/01/2000;Burnaby, BC, Canada;Private company;;http://www.ironcladgames.com/;Developer;Ironclad Games is a Canadian PC game developer. The company was founded in 2003 by former employees of Barking Dog Studios/Rockstar Games. Ironclad is located in Burnaby, British Columbia.
Ironstone Partners ;;;;;;http://www.ironstonepartners.com/;;
Irrational Games;http://upload.wikimedia.org/wikipedia/en/e/e9/IrrationalGames_new_logo.jpg;01/01/1997;Quincy, Massachusetts, United States;Subsidiary of 2K Games;150;http://www.irrationalgames.com/;Developer;"Irrational Games (known briefly as 2K Boston, Inc./2K Australia Pty. Ltd.) is a video game developer founded in 1997 by three former employees of Looking Glass Studios: Ken Levine, Jonathan Chey, and Robert Fermier as Irrational Games. On January 9, 2006, Take-Two Interactive announced that they had purchased Irrational, and would publish their games under the 2K Games label.

At its largest point Irrational had two studios, one in Quincy, Massachusetts, USA just outside Boston, Massachusetts and the other in Canberra, Australia.

A third studio, 2K Marin, was split off from 2K Boston in 2007, with five former Irrational Games employees leaving to join the new company. 2K Marin worked with 2K Australia on BioShock 2.

The Canberra studio (2K Australia) separated from the Boston studio at some point after 2007, and merged with 2K Marin in 2010.

In late July 2010, several media outlets reported that a recently created website, whatisicarus.com, was a promotion relating to Irrational Games' unannounced project. The following week, information about the game was again teased, with the trailer confirmed for release on August 12, 2010.  It turned out to be BioShock Infinite."
Jagex Games Studio ;http://upload.wikimedia.org/wikipedia/en/thumb/b/b1/Jagex_Logo.svg/250px-Jagex_Logo.svg.png;12/01/2001;Cambridge, United Kingdom;Private company;450;http://www.jagex.com/;Publisher & Developer;"Jagex Games Studio, based in Cambridge,  is the UK’s largest independent developer and publisher of online games.  Jagex is best known for RuneScape, the world's largest free-to-play MMORPG. 

In addition to RuneScape, Jagex has released 43 casual games on its FunOrb portal  and published several independently developed titles. 

Jagex has over 450 employees  who provide content development, employee management, and customer support in house."
Jarhead Games ;http://media.giantbomb.com/uploads/0/4647/1055589-jarhead_large.jpg;01/01/2001;Vancouver, Canada;Independent;;http://www.jarheadgames.com/;Developer;"A Vancouver-based developer of budget 3D games with military and outdoor recreation themes.

Founded in 2001 by Russ Bullock and Bryan Ekman, Jarhead Games focuses on producing low-cost titles with military or hunting/fishing themes. They are best-known as the developer of Navy SEALs: Weapons Of Mass Destruction. Current status of the company is unknown: its website's news page hasn't been updated since February 2005, and many of its announced games remain unreleased.

Both Bullock and Ekman founded and are currently working at Piranha Games.
"
JoWood Entertainment AG;http://media.giantbomb.com/uploads/0/3161/213310-jowood07pres_large.jpeg;01/01/1995;Liezen, Austria;Closed 2011;;http://www.jowood.com/;Publisher;JoWood was a game developer and publisher from Austria that had to file bankruptcy in 2011. Their most famous games include the Gothic and AquaNox Series.
Joymax Co., Ltd. ;http://media.giantbomb.com/uploads/13/136140/2178436-812885_large.jpeg;;Seoul, Korea;Public;225;http://www.joymax.com/;Developer;Joymax is a Korean online games developer and service provider. They are the creators of Silkroad Online and Karma Online. They will also host the english version of Digimon Masters
Juice Games ;http://media.giantbomb.com/uploads/0/2776/247625-juice_logo_large.jpg;01/01/2003;Cheshire, England;Closed 2011;;http://www.thqdigital.com/;Developer;"THQ Digital Studios UK Ltd (also known as THQ Digital Warrington, formerly Juice Games) was a video game developer based in Warrington, England; Juice Games was acquired by THQ in March 2006, and was merged with 'Rainbow Studios' in 2010 forming THQ Digital Studios. The Warrington operations were closed in June 2011."
Just A Game ;;;;;;;;
K2 Network ;http://images.mmosite.com/news/2009/05/23/gamerfirst/k2network20corporate20lqv9.gif;01/01/2001;Irvine, California ;Private company;;http://www.k2network.net/;Publisher;"K2 Network, Inc. is a computer game service company in Irvine, California. K2 Network brings games from Asia and services them for North American, South American, and European markets. In addition to providing localized game versions, its other services include community management and customer support. K2 Network was founded in 2001 on the belief that ""the community experience of Massively Multiplayer Online Games (MMOG’s) will become one of the most significant forms of entertainment in the 21st century."
Kalypso Media;http://upload.wikimedia.org/wikipedia/en/thumb/3/34/Kalypso_Media_logo.png/250px-Kalypso_Media_logo.png;01/01/2006;Worms, Germany ;Private company;120;http://www.kalypsomedia.com/;Publisher & Developer;Kalypso Media is a German video game developer and publisher. Founded in summer 2006 by industry veterans Simon Hellwig and Stefan Marcinek, the company has published and/or developed a number of successful titles such as Sins of a Solar Empire, Ceville, Dungeons, Airline Tycoon 2, Boulder Dash, DarkStar One, Disciples Patrician IV, Tropico 3 and Tropico 4.
Kaos Studios ;http://upload.wikimedia.org/wikipedia/en/e/e3/Kaos_Studios.jpg;01/01/2006;New York City, New York, United States;Closed 2011;;;Developer;"Kaos Studios was an American video game developer based in New York City, New York. Kaos Studios was formed in 2006 when publisher THQ hired the core members of Trauma Studios, the team behind the popular Desert Combat modification, to create a new studio based in New York City to focus on first-person shooter video games.

In February 2008, Kaos Studios released their first game, Frontlines: Fuel of War, for the Xbox 360 and PC. In March 2009, THQ announced that Kaos Studios was recruiting for their upcoming game Homefront.  Homefront was released on March 15, 2011 for Xbox 360, PlayStation 3, and PC in North America, with the European release set a week later.

It was announced that Kaos Studios would close permanently on June 13, 2011"
Katauri Interactive ;http://media.giantbomb.com/uploads/0/1403/462791-katauri_large.jpg;11/30/2004;Vladivostok, Russia;Private company;;http://www.katauri.com/;Developer;"Katauri Interactive is a Russian games developer most well known for creating King's Bounty.

Katauri Games was founded in 2004 by former Elemental Games employees. Consisting of about twenty people, Katauri Games is most notable for the King's Bounty series of games. In 2008, the developer moved shop from Vladivostok in mainland Russia to the Russian exclave of Kaliningrad Oblast.
"
KCEJ ;http://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Konami.svg/220px-Konami.svg.png;;;subsidiary of Konami Corporation ;;;Developer;"Konami JPN Ltd., formerly Konami Computer Entertainment Japan (KCEJ), is a video game developer and subsidiary of Konami Corporation, located in Tokyo.

The development house has worked on titles for a wide variety of platforms, ranging from Game Boy to PlayStation. KCEJ is split into two different development teams, located in two offices in Tokyo. KCEJ East developed 7 Blades as well as a number of dating sims for the PlayStation, Sega Saturn and Game Boy. KCEJ West is known for the best-selling Metal Gear Solid series, as well as the Beatmania and GuitarFreaks series.

On April 1, 2005, KCEJ (along with KCET and KCES) merged with its parent company. Hideo Kojima (the company's former vice president) has formed his own subsidiary, Kojima Productions."
Kerberos Productions ;http://upload.wikimedia.org/wikipedia/en/1/17/Kerberos_logo.png;01/01/2003;Vancouver, BC, Canada ;Private company;;http://www.kerberos-productions.com/;Developer;"Kerberos Productions Inc. is a third-party video game developer based in Vancouver, British Columbia, Canada. The company was formed in 2003 by former employees of Barking Dog Studios/Rockstar Games.

The company takes its name and logo from Cerberus, a large three-headed creature of Greek mythology (Κέρβερος, in Greek). The three heads of the hellhound represent the three disciplines of game development: art, programming, and design.

The company has released two games: a 4X game called Sword of the Stars (originally published by Lighthouse Interactive, currently published by Paradox Interactive) and an RPG titled Fort Zombie. They are currently working on Sword of the Stars 2 and a space trading ship simulation game called Northsta"
Kheops Studio ;http://upload.wikimedia.org/wikipedia/en/d/df/Kheops_logo.png;01/01/2003;France, Paris ;Private company;;http://www.kheopsstudio.com/;Developer;"Kheops Studio is an independent video game development studio created in September 2003. The company was co-founded by Benoît Hozjan (of Cryo Interactive), who also serves as the Creative Director for the studio and Stéphane Petit (of Cryo Interactive), who serves as Technical Director. Kheops develops adventure games for the PC platform and has already released several major successful games. The studio is best known for creating games that have been described by the developer as ""cultural entertainment"", that is, games which are heavily drawn from historical or literary sources to include a mixture of history and fiction. 

Games are published by Microïds, which acquired the brands and intellectual property of the video game company Cryo Interactive gone bankrupt in 2002."
King Art ;http://media.giantbomb.com/uploads/1/11161/1862252-kingart_logo_large.gif;01/01/2000;Germany;Private company;;http://www.kingart.de/;Developer;Founded in 2000, this German game developer works on browser games as well as retail adventure games
KingsIsle Entertainment ;http://media.giantbomb.com/uploads/13/136140/2182072-658588_large.jpeg;01/01/2005;Austin, Texas;Private company;;http://kingsisle.com/;Developer;"KingsIsle Entertainment is a video game developer based in Austin and Dallas, Texas. The company was launched in February 2005, with perhaps the best known of its recruits being Tom Hall, co-founder of id Software and Ion Storm and J. Todd Coleman, co-founder of Wolfpack Studios. Its main focus is mainly based on creating family online games.

KingsIsle Entertainment develops and publishes high quality family online games that appeal to a wide audience. KingsIsle’s kid safe games have been honored with awards from the National Parenting Publication, Beckett Massive Online Gamer Magazine, Massively.com and MMORPG.com. The company's experienced and creative team is raising the bar in family online entertainment by offering products with rich story-lines, friendly navigation, top-quality art and fully voiced characters.

To date, KingsIsle has produced two online games, Wizard101, a card-battling MMO featuring wizards in a fantasy world, and the recently announced Pirate101 which takes place within the same universe as Wizard101. KingsIsle has also produced a website called KIFreeGames, which is a games website with a few Wizard101 games and also have produced an app for the IPhone called Wizard Blocks."
Klei Entertainment ;http://upload.wikimedia.org/wikipedia/en/f/f8/KleiEntertainment_logo.png;06/01/2005;Vancouver, BC, Canada ;Private company;11;http://www.kleientertainment.com/;Developer;Klei Entertainment is an independent game development studio located in Vancouver that develops downloadable video games for the PC and Xbox 360's Xbox Live Arcade. Klei was formed in July 2005 by Jamie Cheng. They are best known for two of their original intellectual property games, Eets and Shank.
KnowWonder;http://media.giantbomb.com/uploads/13/136140/2182747-450192_large.png;01/01/1998;;subsidiary of Backbone Entertainment;;http://www.knowwonder.com/;Developer;"KnowWonder Digital Entertainment is a video game company that was founded in 1998, and was formerly owned by Amaze Entertainment. It acquired Griptonite Games in 1999, but got bought back by Realtime Associates. It produced Disney games like Finding Nemo and Disney's Brother Bear for the PC and Nickelodeon games like Rugrats in Paris: The Movie for the PC and produced Acclaim Entertainment games like All-Star Baseball 2001 as well.

KnowWonder later became a subsidiary of ImaginEngine in 2008, to produce games aimed at older kids, like The Spiderwick Chronicles and Harry Potter and the Half-Blood Prince.

Today, it's a subsidiary of Backbone Entertainment, who owns ImaginEngine."
Koei ;http://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Koei.png/220px-Koei.png;6/25/1978;Yokohama, Kanagawa, Japan;Subsidiary of Tecmo Koei;;http://www.koei.com/;Publisher & Developer;"Koei Co., Ltd is a Japanese video game publisher, developer, and distributor founded in 1978. The company is best known for its historical simulation games based on the novel Romance of the Three Kingdoms, as well as simulation games based on pseudo-historical events.

The company has also found mainstream success in a series of loosely historical action games, the flagship titles of which are Dynasty Warriors and Samurai Warriors, the Musō  series. Koei also owns a division known as Ruby Party, which focuses in dating sim games."
Konami;http://media.giantbomb.com/uploads/1/14030/713111-konami_large.png;3/29/1969;Tokyo, Japan ;Public;5708;http://www.konami.com/;Publisher & Developer;"Konami Corporation is a major Japanese developer and publisher of numerous toys, trading cards, anime, tokusatsu, slot machines, arcade cabinets and video games. Konami is famous for popular video game series such as Castlevania, Contra, Dance Dance Revolution, Gradius, Frogger, Metal Gear, Pro Evolution Soccer, Silent Hill and Yu-Gi-Oh!.

The company was founded in 1969 as a jukebox rental and repair business in Osaka, Japan, by Kagemasa Kōzuki, the still-current chairman and president. The name ""Konami"" is a conjunction of the names Kagemasa Kozuki (current chairman and president), Yoshinobu Nakama, and Tatsuo Miyasako.[citation needed]

Konami is currently headquartered in Tokyo and additionally operates health and physical fitness clubs in Japan. Konami also operates United States activities in El Segundo, California for video games and Paradise, Nevada for the casino gaming industry. Its Australian gaming operations are located in Sydney, Australia, and distribution of Konami's games in Australia is handled by Mindscape Australia."
Krome Studios ;http://upload.wikimedia.org/wikipedia/en/8/83/KromeStudiosAustralia-Black.jpg;01/01/1999;Melbourne, Victoria;Closed 2010;;http://www.kromestudios.com/;Developer;Krome Studios was an Australian video game company. Its headquarters were in Brisbane and it previously had offices in Adelaide and Melbourne. Krome Studios was best known for their Ty the Tasmanian Tiger games and for revitalising the Spyro the Dragon series. The company was founded in 1999 by Robert Walsh, who is the CEO, Steve Stamatiadis, the creative director and John Passfield, the design director who left the company in 2005. Krome has created games for the Xbox, Nintendo GameCube, Wii, Game Boy Advance, Dreamcast, PlayStation, PlayStation 2, and PC. Krome has also developed for the Xbox 360, PlayStation 3, Wii and PlayStation Portable.
Kuju Entertainment ;http://upload.wikimedia.org/wikipedia/en/a/ae/Kuju_logo.png;01/01/1998;Surrey, United Kingdom;Subsidiary of Catalis S.E.;;http://www.kuju.com/;Developer;"Kuju Entertainment is an international video game developer company. It was formed in 1998 in Shalford, Surrey, United Kingdom, after a management buyout of Simis from Eidos Interactive.

The name ""Kuju"" originates from the two founders first letters of their first names: Ian Baverstock and Jonathan Newth. These are the 9th and 10th letter of the English alphabet. The number nine and ten in Japanese are ""ku"" and ""ju"", combined resulting in ""kuju""."
Kylotonn ;http://media.giantbomb.com/uploads/13/136140/2184309-601988_large.png;01/01/2002;Paris, France;Private company;;http://www.kylotonngames.com/;Developer;Kylotonn is a French video game developer company, located in Paris, France. It was founded in 2002 by Roman Vincent and Yann Tambellini. The company is most notable for developing Bet on Soldier and its expansions.
Lace Mamba Global;http://media.giantbomb.com/uploads/3/38377/1779352-logo_large.jpg;01/01/2008;London, England;Private company;;http://www.mamba-games.co.uk/index.php;Developer;"Lace Mamba Global, formerly Mamba Games, is a video game publisher headed up by Robert Neilson, a former THQ executive.

In July 2009 Mamba Games announced a new adventure dedicated brand named ""Odyssia"". The first two launch titles for this new brand were The Void and Outcry within Europe and Australasia. The new brand also features a download portal which will feature both Mamba titles and a selection of other products from 3rd party publishers.

On March 17th 2010, Mamba Games forged a partnership with Lace Group, a British publisher, to become Lace Mamba Global.
"
Larian Studios ;http://media.giantbomb.com/uploads/1/15687/635223-larian_studios_large.jpg;03/01/1996;Gent, Belgium;Private company;;http://www.larian.com/;Developer;Larian Studios is a Belgian game developer which was founded in 1996  by Swen Vincke who derived its name from his dog, Pilar.  It currently focuses on developing role-playing video game and educational games, apart from LEDWars  which is a hardcore strategy game and a number of casino games.
Lego Media ;http://upload.wikimedia.org/wikipedia/commons/thumb/2/24/LEGO_logo.svg/142px-LEGO_logo.svg.png;01/01/1932;Billund, Denmark;Private company;9374;http://lego.com/;Publisher;"The Lego Group is a family-owned company based in Billund, Denmark,  and best known for the manufacture of Lego brand toys.

The company was founded in 1932 by Ole Kirk Christiansen. The word Lego is derived from the Danish words ""leg godt"", meaning ""play well."" The word ""lego"" can also be interpreted to mean ""I gather together"" in Latin, and ""I connect"" in Italian."
Lighthouse Interactive;http://media.giantbomb.com/uploads/13/136140/2188976-448434_large.png;;The Netherlands ;Closed 2009;;;Publisher;"SilverBirch, Inc. was a video game publisher located in the Netherlands and was Acquired by Lighthouse Interactive in 2008. The company ""Lighthouse interactive"" had offices in Toronto and Montreal, Canada, Haarlem, The Netherlands and London, England.

The company was acquired by Lighthouse Interactive, Inc on 31 July 2008.  Despite this, Lighthouse Interactive was declared bankrupt in March 2009, closing down for good."
